"train/global_step","Flan-T5_DPO_LoRA_HH-RLHF - _step","Flan-T5_DPO_LoRA_HH-RLHF - _step__MIN","Flan-T5_DPO_LoRA_HH-RLHF - _step__MAX","Flan-T5_DPO_LoRA_HH-RLHF - eval/logps/chosen","Flan-T5_DPO_LoRA_HH-RLHF - eval/logps/chosen__MIN","Flan-T5_DPO_LoRA_HH-RLHF - eval/logps/chosen__MAX"
"100","1","1","1","-161.44381713867188","-161.44381713867188","-161.44381713867188"
"200","3","3","3","-161.44236755371094","-161.44236755371094","-161.44236755371094"
"300","5","5","5","-161.44085693359375","-161.44085693359375","-161.44085693359375"
"400","7","7","7","-161.44168090820312","-161.44168090820312","-161.44168090820312"
"500","9","9","9","-161.43968200683594","-161.43968200683594","-161.43968200683594"
"600","11","11","11","-161.4385528564453","-161.4385528564453","-161.4385528564453"
"700","13","13","13","-161.42630004882812","-161.42630004882812","-161.42630004882812"
"800","15","15","15","-161.39859008789062","-161.39859008789062","-161.39859008789062"
"900","17","17","17","-161.37550354003906","-161.37550354003906","-161.37550354003906"
"1000","19","19","19","-161.3168487548828","-161.3168487548828","-161.3168487548828"
"1100","21","21","21","-161.24765014648438","-161.24765014648438","-161.24765014648438"
"1200","23","23","23","-161.1398162841797","-161.1398162841797","-161.1398162841797"
"1300","25","25","25","-160.97911071777344","-160.97911071777344","-160.97911071777344"
"1400","27","27","27","-160.8046875","-160.8046875","-160.8046875"
"1500","29","29","29","-160.62506103515625","-160.62506103515625","-160.62506103515625"
"1600","31","31","31","-160.4638214111328","-160.4638214111328","-160.4638214111328"
"1700","33","33","33","-160.30953979492188","-160.30953979492188","-160.30953979492188"
"1800","35","35","35","-160.12405395507812","-160.12405395507812","-160.12405395507812"
"1900","37","37","37","-160.00621032714844","-160.00621032714844","-160.00621032714844"
"2000","39","39","39","-159.81732177734375","-159.81732177734375","-159.81732177734375"
"2100","41","41","41","-159.69235229492188","-159.69235229492188","-159.69235229492188"
"2200","43","43","43","-159.4988250732422","-159.4988250732422","-159.4988250732422"
"2300","45","45","45","-159.32615661621094","-159.32615661621094","-159.32615661621094"
"2400","47","47","47","-159.2194061279297","-159.2194061279297","-159.2194061279297"
"2500","49","49","49","-159.0996856689453","-159.0996856689453","-159.0996856689453"
"2600","51","51","51","-159.0330047607422","-159.0330047607422","-159.0330047607422"
"2700","53","53","53","-159.06048583984375","-159.06048583984375","-159.06048583984375"
"2800","55","55","55","-158.9036407470703","-158.9036407470703","-158.9036407470703"
"2900","57","57","57","-158.88235473632812","-158.88235473632812","-158.88235473632812"
"3000","59","59","59","-158.7918701171875","-158.7918701171875","-158.7918701171875"
"3100","61","61","61","-158.77249145507812","-158.77249145507812","-158.77249145507812"
"3200","63","63","63","-158.69749450683594","-158.69749450683594","-158.69749450683594"
"3300","65","65","65","-158.66285705566406","-158.66285705566406","-158.66285705566406"
"3400","67","67","67","-158.70437622070312","-158.70437622070312","-158.70437622070312"
"3500","69","69","69","-158.64047241210938","-158.64047241210938","-158.64047241210938"
"3600","71","71","71","-158.6101531982422","-158.6101531982422","-158.6101531982422"
"3700","73","73","73","-158.7638702392578","-158.7638702392578","-158.7638702392578"
"3800","75","75","75","-158.9063720703125","-158.9063720703125","-158.9063720703125"
"3900","77","77","77","-159.03831481933594","-159.03831481933594","-159.03831481933594"
"4000","79","79","79","-159.2858123779297","-159.2858123779297","-159.2858123779297"
"4100","81","81","81","-159.04324340820312","-159.04324340820312","-159.04324340820312"
"4200","83","83","83","-159.10398864746094","-159.10398864746094","-159.10398864746094"
"4300","85","85","85","-159.22547912597656","-159.22547912597656","-159.22547912597656"
"4400","87","87","87","-159.34852600097656","-159.34852600097656","-159.34852600097656"
"4500","89","89","89","-159.19847106933594","-159.19847106933594","-159.19847106933594"
"4600","91","91","91","-159.16856384277344","-159.16856384277344","-159.16856384277344"
"4700","93","93","93","-159.42849731445312","-159.42849731445312","-159.42849731445312"
"4800","95","95","95","-159.13723754882812","-159.13723754882812","-159.13723754882812"
"4900","97","97","97","-158.76446533203125","-158.76446533203125","-158.76446533203125"
"5000","99","99","99","-158.8751983642578","-158.8751983642578","-158.8751983642578"
"5100","101","101","101","-158.75274658203125","-158.75274658203125","-158.75274658203125"
"5200","103","103","103","-158.351806640625","-158.351806640625","-158.351806640625"
"5300","105","105","105","-158.45217895507812","-158.45217895507812","-158.45217895507812"
"5400","107","107","107","-158.4671630859375","-158.4671630859375","-158.4671630859375"
"5500","109","109","109","-158.23129272460938","-158.23129272460938","-158.23129272460938"
"5600","111","111","111","-157.84437561035156","-157.84437561035156","-157.84437561035156"
"5700","113","113","113","-157.5888214111328","-157.5888214111328","-157.5888214111328"
"5800","115","115","115","-157.52354431152344","-157.52354431152344","-157.52354431152344"
"5900","117","117","117","-157.39080810546875","-157.39080810546875","-157.39080810546875"
"6000","119","119","119","-157.77687072753906","-157.77687072753906","-157.77687072753906"
"6100","121","121","121","-156.96856689453125","-156.96856689453125","-156.96856689453125"
"6200","123","123","123","-157.2831573486328","-157.2831573486328","-157.2831573486328"
"6300","125","125","125","-156.80755615234375","-156.80755615234375","-156.80755615234375"
"6400","127","127","127","-156.20797729492188","-156.20797729492188","-156.20797729492188"
"6500","129","129","129","-156.39378356933594","-156.39378356933594","-156.39378356933594"
"6600","131","131","131","-156.76853942871094","-156.76853942871094","-156.76853942871094"
"6700","133","133","133","-158.572998046875","-158.572998046875","-158.572998046875"
"6800","135","135","135","-158.7335205078125","-158.7335205078125","-158.7335205078125"
"6900","137","137","137","-157.50314331054688","-157.50314331054688","-157.50314331054688"
"7000","139","139","139","-156.79917907714844","-156.79917907714844","-156.79917907714844"
"7100","141","141","141","-156.60850524902344","-156.60850524902344","-156.60850524902344"
"7200","143","143","143","-155.6778106689453","-155.6778106689453","-155.6778106689453"
"7300","145","145","145","-156.53005981445312","-156.53005981445312","-156.53005981445312"
"7400","147","147","147","-157.87106323242188","-157.87106323242188","-157.87106323242188"
"7500","149","149","149","-157.06552124023438","-157.06552124023438","-157.06552124023438"
"7600","151","151","151","-157.38671875","-157.38671875","-157.38671875"
"7700","153","153","153","-157.74322509765625","-157.74322509765625","-157.74322509765625"
"7800","155","155","155","-157.0059051513672","-157.0059051513672","-157.0059051513672"
"7900","157","157","157","-157.2686004638672","-157.2686004638672","-157.2686004638672"
"8000","159","159","159","-156.5227813720703","-156.5227813720703","-156.5227813720703"
"8100","161","161","161","-157.23434448242188","-157.23434448242188","-157.23434448242188"
"8200","163","163","163","-156.2621307373047","-156.2621307373047","-156.2621307373047"
"8217","165","165","165","-156.0818328857422","-156.0818328857422","-156.0818328857422"