"train/global_step","Flan-T5_DPO_LoRA_HH-RLHF - _step","Flan-T5_DPO_LoRA_HH-RLHF - _step__MIN","Flan-T5_DPO_LoRA_HH-RLHF - _step__MAX","Flan-T5_DPO_LoRA_HH-RLHF - eval/logps/rejected","Flan-T5_DPO_LoRA_HH-RLHF - eval/logps/rejected__MIN","Flan-T5_DPO_LoRA_HH-RLHF - eval/logps/rejected__MAX"
"100","1","1","1","-130.1629180908203","-130.1629180908203","-130.1629180908203"
"200","3","3","3","-130.1660614013672","-130.1660614013672","-130.1660614013672"
"300","5","5","5","-130.166015625","-130.166015625","-130.166015625"
"400","7","7","7","-130.16355895996094","-130.16355895996094","-130.16355895996094"
"500","9","9","9","-130.16615295410156","-130.16615295410156","-130.16615295410156"
"600","11","11","11","-130.16184997558594","-130.16184997558594","-130.16184997558594"
"700","13","13","13","-130.15414428710938","-130.15414428710938","-130.15414428710938"
"800","15","15","15","-130.13478088378906","-130.13478088378906","-130.13478088378906"
"900","17","17","17","-130.115234375","-130.115234375","-130.115234375"
"1000","19","19","19","-130.0757598876953","-130.0757598876953","-130.0757598876953"
"1100","21","21","21","-130.02127075195312","-130.02127075195312","-130.02127075195312"
"1200","23","23","23","-129.9459991455078","-129.9459991455078","-129.9459991455078"
"1300","25","25","25","-129.8267822265625","-129.8267822265625","-129.8267822265625"
"1400","27","27","27","-129.69442749023438","-129.69442749023438","-129.69442749023438"
"1500","29","29","29","-129.56283569335938","-129.56283569335938","-129.56283569335938"
"1600","31","31","31","-129.4539337158203","-129.4539337158203","-129.4539337158203"
"1700","33","33","33","-129.3526153564453","-129.3526153564453","-129.3526153564453"
"1800","35","35","35","-129.22906494140625","-129.22906494140625","-129.22906494140625"
"1900","37","37","37","-129.1597900390625","-129.1597900390625","-129.1597900390625"
"2000","39","39","39","-129.0402374267578","-129.0402374267578","-129.0402374267578"
"2100","41","41","41","-128.97886657714844","-128.97886657714844","-128.97886657714844"
"2200","43","43","43","-128.8636932373047","-128.8636932373047","-128.8636932373047"
"2300","45","45","45","-128.759765625","-128.759765625","-128.759765625"
"2400","47","47","47","-128.70675659179688","-128.70675659179688","-128.70675659179688"
"2500","49","49","49","-128.6376953125","-128.6376953125","-128.6376953125"
"2600","51","51","51","-128.6414031982422","-128.6414031982422","-128.6414031982422"
"2700","53","53","53","-128.71363830566406","-128.71363830566406","-128.71363830566406"
"2800","55","55","55","-128.6328125","-128.6328125","-128.6328125"
"2900","57","57","57","-128.67172241210938","-128.67172241210938","-128.67172241210938"
"3000","59","59","59","-128.66812133789062","-128.66812133789062","-128.66812133789062"
"3100","61","61","61","-128.71234130859375","-128.71234130859375","-128.71234130859375"
"3200","63","63","63","-128.70010375976562","-128.70010375976562","-128.70010375976562"
"3300","65","65","65","-128.7582244873047","-128.7582244873047","-128.7582244873047"
"3400","67","67","67","-128.9107208251953","-128.9107208251953","-128.9107208251953"
"3500","69","69","69","-128.8957061767578","-128.8957061767578","-128.8957061767578"
"3600","71","71","71","-128.94065856933594","-128.94065856933594","-128.94065856933594"
"3700","73","73","73","-129.1916046142578","-129.1916046142578","-129.1916046142578"
"3800","75","75","75","-129.4290313720703","-129.4290313720703","-129.4290313720703"
"3900","77","77","77","-129.68846130371094","-129.68846130371094","-129.68846130371094"
"4000","79","79","79","-130.0542449951172","-130.0542449951172","-130.0542449951172"
"4100","81","81","81","-129.8605194091797","-129.8605194091797","-129.8605194091797"
"4200","83","83","83","-130.0381317138672","-130.0381317138672","-130.0381317138672"
"4300","85","85","85","-130.25900268554688","-130.25900268554688","-130.25900268554688"
"4400","87","87","87","-130.451416015625","-130.451416015625","-130.451416015625"
"4500","89","89","89","-130.37857055664062","-130.37857055664062","-130.37857055664062"
"4600","91","91","91","-130.4687042236328","-130.4687042236328","-130.4687042236328"
"4700","93","93","93","-130.85081481933594","-130.85081481933594","-130.85081481933594"
"4800","95","95","95","-130.65049743652344","-130.65049743652344","-130.65049743652344"
"4900","97","97","97","-130.3491668701172","-130.3491668701172","-130.3491668701172"
"5000","99","99","99","-130.5749053955078","-130.5749053955078","-130.5749053955078"
"5100","101","101","101","-130.5408172607422","-130.5408172607422","-130.5408172607422"
"5200","103","103","103","-130.16917419433594","-130.16917419433594","-130.16917419433594"
"5300","105","105","105","-130.41270446777344","-130.41270446777344","-130.41270446777344"
"5400","107","107","107","-130.57049560546875","-130.57049560546875","-130.57049560546875"
"5500","109","109","109","-130.3974151611328","-130.3974151611328","-130.3974151611328"
"5600","111","111","111","-130.12672424316406","-130.12672424316406","-130.12672424316406"
"5700","113","113","113","-129.88375854492188","-129.88375854492188","-129.88375854492188"
"5800","115","115","115","-130.0203399658203","-130.0203399658203","-130.0203399658203"
"5900","117","117","117","-130.00390625","-130.00390625","-130.00390625"
"6000","119","119","119","-130.5355682373047","-130.5355682373047","-130.5355682373047"
"6100","121","121","121","-129.69557189941406","-129.69557189941406","-129.69557189941406"
"6200","123","123","123","-130.10888671875","-130.10888671875","-130.10888671875"
"6300","125","125","125","-129.68614196777344","-129.68614196777344","-129.68614196777344"
"6400","127","127","127","-129.04202270507812","-129.04202270507812","-129.04202270507812"
"6500","129","129","129","-129.3551483154297","-129.3551483154297","-129.3551483154297"
"6600","131","131","131","-129.84701538085938","-129.84701538085938","-129.84701538085938"
"6700","133","133","133","-131.90675354003906","-131.90675354003906","-131.90675354003906"
"6800","135","135","135","-132.08067321777344","-132.08067321777344","-132.08067321777344"
"6900","137","137","137","-130.84962463378906","-130.84962463378906","-130.84962463378906"
"7000","139","139","139","-129.9578094482422","-129.9578094482422","-129.9578094482422"
"7100","141","141","141","-129.81732177734375","-129.81732177734375","-129.81732177734375"
"7200","143","143","143","-128.8040313720703","-128.8040313720703","-128.8040313720703"
"7300","145","145","145","-129.97312927246094","-129.97312927246094","-129.97312927246094"
"7400","147","147","147","-131.5416259765625","-131.5416259765625","-131.5416259765625"
"7500","149","149","149","-130.52418518066406","-130.52418518066406","-130.52418518066406"
"7600","151","151","151","-131.126953125","-131.126953125","-131.126953125"
"7700","153","153","153","-131.64132690429688","-131.64132690429688","-131.64132690429688"
"7800","155","155","155","-130.7845916748047","-130.7845916748047","-130.7845916748047"
"7900","157","157","157","-131.0581512451172","-131.0581512451172","-131.0581512451172"
"8000","159","159","159","-130.08999633789062","-130.08999633789062","-130.08999633789062"
"8100","161","161","161","-131.04124450683594","-131.04124450683594","-131.04124450683594"
"8200","163","163","163","-129.71046447753906","-129.71046447753906","-129.71046447753906"
"8217","165","165","165","-129.54608154296875","-129.54608154296875","-129.54608154296875"